annot1_idx,annot2_idx,Gof,label1,label2
1,0,79.5635523676372,no matching lookup,no label
2,46,44.3195407797178,L_V1_ROI,S_calcarine
3,61,78.3333333333333,L_MST_ROI,S_occipital_ant
4,67,76.2278978388998,L_V6_ROI,S_parieto_occipital
5,23,33.1455087835598,L_V2_ROI,G_oc-temp_med-Lingual
6,23,19.7916666666667,L_V3_ROI,G_oc-temp_med-Lingual
7,20,22.4215246636771,L_V4_ROI,G_occipital_middle
8,22,73.0639730639731,L_V8_ROI,G_oc-temp_lat-fusifor
9,47,42.3661270236613,L_4_ROI,S_central
10,47,58.664323374341,L_3b_ROI,S_central
11,71,64.4230769230769,L_FEF_ROI,S_precentral-sup-part
12,70,73.8666666666667,L_PEF_ROI,S_precentral-inf-part
13,30,80.1829268292683,L_55b_ROI,G_precentral
14,21,67.1296296296296,L_V3A_ROI,G_occipital_sup
15,68,42.4211597151577,L_RSC_ROI,S_pericallosal
16,67,50.2894954507858,L_POS2_ROI,S_parieto_occipital
17,21,45.2554744525547,L_V7_ROI,G_occipital_sup
18,58,64.1104294478528,L_IPS1_ROI,S_intrapariet_and_P_trans
19,22,69.1025641025641,L_FFC_ROI,G_oc-temp_lat-fusifor
20,60,100,L_V3B_ROI,S_oc_sup_and_transversal
21,59,50.9433962264151,L_LO1_ROI,S_oc_middle_and_Lunatus
22,3,66.5634674922601,L_LO2_ROI,G_and_S_occipital_inf
23,3,100,L_PIT_ROI,G_and_S_occipital_inf
24,61,51.7123287671233,L_MT_ROI,S_occipital_ant
25,34,78,L_A1_ROI,G_temp_sup-G_T_transv
26,37,64.1466208476518,L_PSL_ROI,G_temp_sup-Plan_tempo
27,17,100,L_SFL_ROI,G_front_sup
28,31,68.5393258426966,L_PCV_ROI,G_precuneus
29,35,53.5294117647059,L_STV_ROI,G_temp_sup-Lateral
30,31,89.5918367346939,L_7Pm_ROI,G_precuneus
31,31,90.8805031446541,L_7m_ROI,G_precuneus
32,67,38.2775119617225,L_POS1_ROI,S_parieto_occipital
33,9,57.5342465753425,L_23d_ROI,G_and_S_cingul-Mid-Post
34,31,52.6881720430108,L_v23ab_ROI,G_precuneus
35,10,99.3710691823899,L_d23ab_ROI,G_cingul-Post-dorsal
36,73,88.3399209486166,L_31pv_ROI,S_subparietal
37,4,91.6500994035785,L_5m_ROI,G_and_S_paracentral
38,48,88.4339815762538,L_5mv_ROI,S_cingul-Marginalis
39,48,55.9457302474062,L_23c_ROI,S_cingul-Marginalis
40,4,41.2177985948478,L_5L_ROI,G_and_S_paracentral
41,17,47.2645739910314,L_24dd_ROI,G_front_sup
42,9,80.9453471196455,L_24dv_ROI,G_and_S_cingul-Mid-Post
43,28,92.6987060998152,L_7AL_ROI,G_parietal_sup
44,17,77.6997366110623,L_SCEF_ROI,G_front_sup
45,17,89.8550724637681,L_6ma_ROI,G_front_sup
46,31,61.6045845272206,L_7Am_ROI,G_precuneus
47,28,96.045197740113,L_7PL_ROI,G_parietal_sup
48,28,77.2254335260116,L_7PC_ROI,G_parietal_sup
49,58,61.9607843137255,L_LIPv_ROI,S_intrapariet_and_P_trans
50,28,99.5708154506438,L_VIP_ROI,G_parietal_sup
51,58,94.6275946275946,L_MIP_ROI,S_intrapariet_and_P_trans
52,29,83.7187789084181,L_1_ROI,G_postcentral
53,69,71.9655442443226,L_2_ROI,S_postcentral
54,47,85.2097130242826,L_3a_ROI,S_central
55,30,82.5517993456925,L_6d_ROI,G_precentral
56,17,45.81589958159,L_6mp_ROI,G_front_sup
57,30,100,L_6v_ROI,G_precentral
58,9,74.1150442477876,L_p24pr_ROI,G_and_S_cingul-Mid-Post
59,68,50.8038585209003,L_33pr_ROI,S_pericallosal
60,8,99.7416020671835,L_a24pr_ROI,G_and_S_cingul-Mid-Ant
